waterBodyID,WBID,MULakeNumber,waterBody,WATER_BODY_DNR,Distance,waterBodyLatitude,waterBodyLongitude,waterBodyDesc,countyID,countryID,ecoregionID,stateID,waterBodyTypeID,MDNRNameID,primarySLAP19,damHeightM,volumeM3,surfAreaHA,watershedAreaHA,notes,geometry
116,7180,117,Little Dixie,Little Dixie Lake,1163,38.9056,-92.1222,,,187,1,29,2,,yes,12.8,4921585,78.5,962.7,,POINT (-10254996.394756107 4708158.588912838)
117,7213,118,Raintree,Raintree Lake,919,38.835,-94.3817,,,187,1,29,2,,yes,16.8,4403524,87.6,1934,,POINT (-10506522.784203507 4698064.221337519)
118,7149,119,Sterling Price,Sterling Price Community Lake,219,39.4,-92.8433,,,187,1,29,2,,,6.4,230661,10.3,177.3,,POINT (-10335268.879567135 4779131.181226142)
119,7212,120,Winnebago,Lake Winnebago,1461,38.8181,-94.3561,,,187,1,29,2,,,19.5,5735682,177.3,5191.2,,POINT (-10503673.0052392 4695649.350157406)
120,7190,121,Higginsville,Higginsville Reservoir (South),467,39.0617,-93.67,,,187,6,29,2,,yes,10.4,2048810,71.6,1388.8,,POINT (-10427296.702605935 4730513.4256256055)
121,7020,122,Lewistown,Lewistown Lake,356,40.0978,-91.8189,,,187,1,29,2,,,,,,,,POINT (-10221233.193198508 4880164.503459585)
122,7036,123,Shelbyville,Shelbyville Lake,507,39.8064,-92.0511,,,187,1,29,2,,,4.9,119648,12.1,462.7,,POINT (-10247081.578960706 4837848.609638634)
123,7009,124,Wyconda,Wyaconda Lake,148,40.3991,-91.9075,,,187,2,29,2,,,,,,,sometimes MU#259,POINT (-10231096.10008279 4924109.028659745)
125,7041,127,Clarence (East),Old Lake,298,39.7488,-92.2284,,,187,1,29,2,,,9.1,181322,8.1,209.6,,POINT (-10266818.524678351 4829505.4450351205)
126,7040,128,Clarence (West),Clarence Lake #2,293,39.7486,-92.2362,,,187,1,29,2,,,9.1,370044,8.1,121.6,,POINT (-10267686.81670654 4829476.487872396)
127,7023,129,LaBelle City (East),Belleview Lake,759,40.0911,-91.8997,,,187,1,29,2,,,10.1,1150837,45.3,618,,POINT (-10230227.808054602 4879189.527782649)
128,7039,130,LaPlata (East),La Plata City Lake,640,40.0117,-92.43,,,187,1,29,2,,,13.1,822731,32.8,296.5,,POINT (-10289260.534022277 4867642.6373091405)
129,7152,131,Hazel Creek,Hazel Creek Lake,2084,40.3,-92.6278,,,187,1,29,2,,,19.8,11841408,185.1,2120.6,,POINT (-10311279.529301185 4909633.711705325)
130,7018,132,Lancaster City (South),Lancaster City Lake - New,483,40.5158,-92.5481,,,187,1,29,2,,,9.1,437885,16.6,305.7,,POINT (-10302407.365884963 4941182.486325041)
131,7151,133,Forest,Forest Lake,1484,40.1714,-92.6548,,,187,1,29,2,,,20.1,15333390,231.6,3830.3,,POINT (-10314285.155552603 4890881.010847482)
132,7104,134,Jamesport City,Jamesport City Lake,287,39.9906,-93.8111,,,187,1,29,2,,,10.7,202291,8.9,360.1,,POINT (-10443003.882756867 4864576.39112894)
